date_key,date_value,day_of_month,month,year,day_name,month_name,is_weekend
20250601,2025-06-01,1,6,2025,Sunday,June,True
20250602,2025-06-02,2,6,2025,Monday,June,False
20250603,2025-06-03,3,6,2025,Tuesday,June,False
20250604,2025-06-04,4,6,2025,Wednesday,June,False
20250605,2025-06-05,5,6,2025,Thursday,June,False
20250606,2025-06-06,6,6,2025,Friday,June,False
20250607,2025-06-07,7,6,2025,Saturday,June,True
20250608,2025-06-08,8,6,2025,Sunday,June,True
20250609,2025-06-09,9,6,2025,Monday,June,False
20250610,2025-06-10,10,6,2025,Tuesday,June,False
20250611,2025-06-11,11,6,2025,Wednesday,June,False
20250612,2025-06-12,12,6,2025,Thursday,June,False
20250613,2025-06-13,13,6,2025,Friday,June,False
20250614,2025-06-14,14,6,2025,Saturday,June,True
20250615,2025-06-15,15,6,2025,Sunday,June,True
20250616,2025-06-16,16,6,2025,Monday,June,False
20250617,2025-06-17,17,6,2025,Tuesday,June,False
20250618,2025-06-18,18,6,2025,Wednesday,June,False
20250619,2025-06-19,19,6,2025,Thursday,June,False
20250620,2025-06-20,20,6,2025,Friday,June,False
20250621,2025-06-21,21,6,2025,Saturday,June,True
20250622,2025-06-22,22,6,2025,Sunday,June,True
20250623,2025-06-23,23,6,2025,Monday,June,False
20250624,2025-06-24,24,6,2025,Tuesday,June,False
20250625,2025-06-25,25,6,2025,Wednesday,June,False
20250626,2025-06-26,26,6,2025,Thursday,June,False
20250627,2025-06-27,27,6,2025,Friday,June,False
20250628,2025-06-28,28,6,2025,Saturday,June,True
20250629,2025-06-29,29,6,2025,Sunday,June,True
20250630,2025-06-30,30,6,2025,Monday,June,False
20250701,2025-07-01,1,7,2025,Tuesday,July,False
20250702,2025-07-02,2,7,2025,Wednesday,July,False
20250703,2025-07-03,3,7,2025,Thursday,July,False
20250704,2025-07-04,4,7,2025,Friday,July,False
20250705,2025-07-05,5,7,2025,Saturday,July,True
20250706,2025-07-06,6,7,2025,Sunday,July,True
20250707,2025-07-07,7,7,2025,Monday,July,False
20250708,2025-07-08,8,7,2025,Tuesday,July,False
20250709,2025-07-09,9,7,2025,Wednesday,July,False
20250710,2025-07-10,10,7,2025,Thursday,July,False
20250711,2025-07-11,11,7,2025,Friday,July,False
20250712,2025-07-12,12,7,2025,Saturday,July,True
20250713,2025-07-13,13,7,2025,Sunday,July,True
20250714,2025-07-14,14,7,2025,Monday,July,False
20250715,2025-07-15,15,7,2025,Tuesday,July,False
20250716,2025-07-16,16,7,2025,Wednesday,July,False
20250717,2025-07-17,17,7,2025,Thursday,July,False
20250718,2025-07-18,18,7,2025,Friday,July,False
20250719,2025-07-19,19,7,2025,Saturday,July,True
20250720,2025-07-20,20,7,2025,Sunday,July,True
20250721,2025-07-21,21,7,2025,Monday,July,False
20250722,2025-07-22,22,7,2025,Tuesday,July,False
20250723,2025-07-23,23,7,2025,Wednesday,July,False
20250724,2025-07-24,24,7,2025,Thursday,July,False
20250725,2025-07-25,25,7,2025,Friday,July,False
20250726,2025-07-26,26,7,2025,Saturday,July,True
20250727,2025-07-27,27,7,2025,Sunday,July,True
20250728,2025-07-28,28,7,2025,Monday,July,False
20250729,2025-07-29,29,7,2025,Tuesday,July,False
20250730,2025-07-30,30,7,2025,Wednesday,July,False
20250731,2025-07-31,31,7,2025,Thursday,July,False
20250801,2025-08-01,1,8,2025,Friday,August,False
20250802,2025-08-02,2,8,2025,Saturday,August,True
20250803,2025-08-03,3,8,2025,Sunday,August,True
20250804,2025-08-04,4,8,2025,Monday,August,False
20250805,2025-08-05,5,8,2025,Tuesday,August,False
20250806,2025-08-06,6,8,2025,Wednesday,August,False
20250807,2025-08-07,7,8,2025,Thursday,August,False
20250808,2025-08-08,8,8,2025,Friday,August,False
20250809,2025-08-09,9,8,2025,Saturday,August,True
20250810,2025-08-10,10,8,2025,Sunday,August,True
20250811,2025-08-11,11,8,2025,Monday,August,False
20250812,2025-08-12,12,8,2025,Tuesday,August,False
20250813,2025-08-13,13,8,2025,Wednesday,August,False
20250814,2025-08-14,14,8,2025,Thursday,August,False
20250815,2025-08-15,15,8,2025,Friday,August,False
20250816,2025-08-16,16,8,2025,Saturday,August,True
20250817,2025-08-17,17,8,2025,Sunday,August,True
20250818,2025-08-18,18,8,2025,Monday,August,False
20250819,2025-08-19,19,8,2025,Tuesday,August,False
20250820,2025-08-20,20,8,2025,Wednesday,August,False
20250821,2025-08-21,21,8,2025,Thursday,August,False
20250822,2025-08-22,22,8,2025,Friday,August,False
20250823,2025-08-23,23,8,2025,Saturday,August,True
20250824,2025-08-24,24,8,2025,Sunday,August,True
20250825,2025-08-25,25,8,2025,Monday,August,False
20250826,2025-08-26,26,8,2025,Tuesday,August,False
20250827,2025-08-27,27,8,2025,Wednesday,August,False
20250828,2025-08-28,28,8,2025,Thursday,August,False
20250829,2025-08-29,29,8,2025,Friday,August,False
20250830,2025-08-30,30,8,2025,Saturday,August,True
20250831,2025-08-31,31,8,2025,Sunday,August,True
20250901,2025-09-01,1,9,2025,Monday,September,False
20250902,2025-09-02,2,9,2025,Tuesday,September,False
20250903,2025-09-03,3,9,2025,Wednesday,September,False
20250904,2025-09-04,4,9,2025,Thursday,September,False
20250905,2025-09-05,5,9,2025,Friday,September,False
20250906,2025-09-06,6,9,2025,Saturday,September,True
20250907,2025-09-07,7,9,2025,Sunday,September,True
20250908,2025-09-08,8,9,2025,Monday,September,False
20250909,2025-09-09,9,9,2025,Tuesday,September,False
20250910,2025-09-10,10,9,2025,Wednesday,September,False
20250911,2025-09-11,11,9,2025,Thursday,September,False
20250912,2025-09-12,12,9,2025,Friday,September,False
20250913,2025-09-13,13,9,2025,Saturday,September,True
20250914,2025-09-14,14,9,2025,Sunday,September,True
20250915,2025-09-15,15,9,2025,Monday,September,False
20250916,2025-09-16,16,9,2025,Tuesday,September,False
20250917,2025-09-17,17,9,2025,Wednesday,September,False
20250918,2025-09-18,18,9,2025,Thursday,September,False
20250919,2025-09-19,19,9,2025,Friday,September,False
20250920,2025-09-20,20,9,2025,Saturday,September,True
20250921,2025-09-21,21,9,2025,Sunday,September,True
20250922,2025-09-22,22,9,2025,Monday,September,False
20250923,2025-09-23,23,9,2025,Tuesday,September,False
20250924,2025-09-24,24,9,2025,Wednesday,September,False
20250925,2025-09-25,25,9,2025,Thursday,September,False
20250926,2025-09-26,26,9,2025,Friday,September,False
20250927,2025-09-27,27,9,2025,Saturday,September,True
20250928,2025-09-28,28,9,2025,Sunday,September,True
20250929,2025-09-29,29,9,2025,Monday,September,False
20250930,2025-09-30,30,9,2025,Tuesday,September,False
20251001,2025-10-01,1,10,2025,Wednesday,October,False
20251002,2025-10-02,2,10,2025,Thursday,October,False
20251003,2025-10-03,3,10,2025,Friday,October,False
20251004,2025-10-04,4,10,2025,Saturday,October,True
20251005,2025-10-05,5,10,2025,Sunday,October,True
20251006,2025-10-06,6,10,2025,Monday,October,False
20251007,2025-10-07,7,10,2025,Tuesday,October,False
20251008,2025-10-08,8,10,2025,Wednesday,October,False
20251009,2025-10-09,9,10,2025,Thursday,October,False
20251010,2025-10-10,10,10,2025,Friday,October,False
20251011,2025-10-11,11,10,2025,Saturday,October,True
20251012,2025-10-12,12,10,2025,Sunday,October,True
20251013,2025-10-13,13,10,2025,Monday,October,False
20251014,2025-10-14,14,10,2025,Tuesday,October,False
20251015,2025-10-15,15,10,2025,Wednesday,October,False
